ID,Title,Author,Year,Data Origin,Visual Dim,Space Scale Start,Space Scale Finish,Time Scale Start,Time Scale Finish,Level,Multi scale,Human,Phys/Anat,Survey model method tool,Exploration,Analysis,Communication,Purpose test,Purpose comment,Process,*Process,Structure,Origin,Concept,Image Name,Bibtex Authors,Abstract,Keywords,Future work,DOI,in vitaLITy?,in paper
S12,"The EuroPhysiome, STEP and a roadmap for the virtual physiological human",Fenner et al.,2008,Simulation,0,-9,-2,-9,5,"Molecule, Organelle, Cell, Tissue, Organ",1,1,Physiology,Outlook,0,0,0,0,modeling,Human body,,Interdisciplinary,Project for simulating th whole human physiology,"The VPH is intended to be a solution to common infrastructure needs for physiome projects across the globe, providing a unifying architecture that facilitates integration and prediction, ultimately creating a framework capable of describing Homo sapiens in silico.",--,"Fenner, J. W.; Brook, B.; Clapworthy, G.; Coveney, P. V.; Feipel, V.; Gregersen, H.; Hose, D. R.; Kohl, P.; Lawford, P.; McCormack, K. M.; Pinney, D.; Thomas, S. R.; Jan, S. Van Sint; Waters, S.; Viceconti, M.","Biomedical science and its allied disciplines are entering a new era in which computational methods and technologies are poised to play a prevalent role in supporting collaborative investigation of the human body. Within Europe, this has its focus in the virtual physiological human (VPH), which is an evolving entity that has emerged from the EuroPhysiome initiative and the strategy for the EuroPhysiome (STEP) consortium. The VPH is intended to be a solution to common infrastructure needs for physiome projects across the globe, providing a unifying architecture that facilitates integration and prediction, ultimately creating a framework capable of describing Homo sapiens in silico. The routine reliance of the biomedical industry, biomedical research and clinical practice on information technology (IT) highlights the importance of a tailor-made and robust IT infrastructure, but numerous challenges need to be addressed if the VPH is to become a mature technological reality. Appropriate investment will reap considerable rewards, since it is anticipated that the VPH will influence all sectors of society, with implications predominantly for improved healthcare, improved competitiveness in industry and greater understanding of (patho)physiological processes. This paper considers issues pertinent to the development of the VPH, highlighted by the work of the STEP consortium.","Biomedical science and its allied disciplines are entering a new era in which computational methods and technologies are poised to play a prevalent role in supporting collaborative investigation of the human body. Within Europe, this has its focus in the virtual physiological human (VPH), which is an evolving entity that has emerged from the EuroPhysiome initiative and the strategy for the EuroPhysiome (STEP) consortium. The VPH is intended to be a solution to common infrastructure needs for physiome projects across the globe, providing a unifying architecture that facilitates integration and prediction, ultimately creating a framework capable of describing Homo sapiens in silico. The routine reliance of the biomedical industry, biomedical research and clinical practice on information technology (IT) highlights the importance of a tailor-made and robust IT infrastructure, but numerous challenges need to be addressed if the VPH is to become a mature technological reality. Appropriate investment will reap considerable rewards, since it is anticipated that the VPH will influence all sectors of society, with implications predominantly for improved healthcare, improved competitiveness in industry and greater understanding of (patho)physiological processes. This paper considers issues pertinent to the development of the VPH, highlighted by the work of the STEP consortium.",---,10.1098/rsta.2008.0089,,"done, in introduction"
S13,Visualization of omics data for systems biology,Gehlenborg et al.,2010,genomics data,2,-10,-6,2,2,"Molecule, Organelle, Cell",1,1,Physiology ,Survey,0.25,0.75,0,1,"main focus in these tools is largely on analysis, minimal amount of exploration (e.g., exploration is a reasonable task mentioned for network clustering and correlation clusters for gene expression datasets - BioLayoutExpress is one example)","pathway, gene expression",,molecule,Systems biology ,"overview of visualization methods for omics data, discussion of key experimental methods for systems biology. Provide lists of visualization tools for: interaction networks, which are often node-link diagrams (Cytyoscape mentioned), vis tools for pathways (e.g. Caleydo), omics data can be overlaid onto biological networks, can be multivariate (with listing of vis tools)--key methods for multivar include scatterplots, profile plots, heat maps, ",--,"Gehlenborg, Nils; O'Donoghue, Seán I.; Baliga, Nitin S.; Goesmann, Alexander; Hibbs, Matthew A.; Kitano, Hiroaki; Kohlbacher, Oliver; Neuweger, Heiko; Schneider, Reinhard; Tenenbaum, Dan; Gavin, Anne-Claude","High-throughput studies of biological systems are rapidly accumulating a wealth of 'omics'-scale data. Visualization is a key aspect of both the analysis and understanding of these data, and users now have many visualization methods and tools to choose from. The challenge is to create clear, meaningful and integrated visualizations that give biological insight, without being overwhelmed by the intrinsic complexity of the data. In this review, we discuss how visualization tools are being used to help interpret protein interaction, gene expression and metabolic profile data, and we highlight emerging new directions.","omics, genomics, systems biology ","automated pathway and network layout to match expert needs, improvements in usability, more web-based tools that are tightly coupled to underlying databases",10.1038/nmeth.1436,n,todo in molecule function vis stars
S14,Open Challenges in Medical Visualization,Gillmann et al.,2021,medical imaging,"2, 3",-3,-1,-2,8,"Tissue, Organ",1,1,"Anatomy, Physiology (small part)",Outlook,0.25,0.5,0.25,1,"mixed task goals depending on application- exploration, analysis, discussion also of narrative visualization that is aimed more at communication-oriented tasks; slight priority on analysis as many vis tools involve abstraction of data/statistics to guide users, enable specific queries, etc. ","tumor growth, metastasis, blood flow ",,"vessel, turmos",vis,"discussion of open challenges in medical visualization, challenges that are relevant to consider in physiology are visualizing multimodal time-dependent data, uncertainty in data. Examples of multimodal data that are discussed with a physiology component include ParaGlyder",--,"Gillmann, Christina; Smit, Noeska N; Groller, Eduard; Preim, Bernhard; Vilanova, Anna; Wischgoll, Thomas","The medical domain has been an inspiring application area in visualization research for many years already, but many open challenges remain. The driving forces of medical visualization research have been strengthened by novel developments, for example, in deep learning, the advent of affordable VR technology, and the need to provide medical visualizations for broader audiences. At IEEE VIS 2020, we hosted an Application Spotlight session to highlight recent medical visualization research topics. With this article, we provide the visualization community with ten such open challenges, primarily focused on challenges related to the visualization of medical imaging data. We first describe the unique nature of medical data in terms of data preparation, access, and standardization. Subsequently, we cover open visualization research challenges related to uncertainty, multimodal and multiscale approaches, and evaluation. Finally, we emphasize challenges related to users focusing on explainable AI, immersive visualization, P4 medicine, and narrative visualization.","uncertainty visualization; multimodal, multiscale, evaluation, explainable AI, immersive visualization, P4 medicine, narrative visualization","In this opinion piece, we outline ten major open challenges in the visualization of medical data. While some are of a practical nature, such as those surrounding data availability and preparation, there are still many open areas of visualization research. We highlight several avenues to potentially address these challenges and selected contributions in these areas. This manuscript is intended to function as a starting point for researchers in medical visualization to understand the open problems in this field, in particular focusing on medical imaging data. It is our hope that these ten challenges provide some directions to a fruitful research path and inspire further discussion.",10.1109/MCG.2021.3094858,n,"done, in introduction"
S15,Art and Science of the Cellular Mesoscale,"Goodsell, Olson, Forli",2020,"simulation, x-ray crystallography, NMR, EM, light microscopy","2, 3",-10,-5,-9,5,Cell,0,1,"Anatomy, Physiology",Survey,0.25,0.25,0.5,1,"However, because no one experimental modality conveys all the needed information, these data must be synthesized into coherent representations of molecular structure and functions of whole living systems, which in turn need to be visualized, analyzed, and communicated for human understanding and insight. Integrative modeling approaches are currently the best way to explore the connections between these diverse data, and to synthesize hypothesis-driven views consistent with the available state-of-the-art in data. There is a growing toolbox of integrative methods to approach this challenge with different goals in mind.
**The visual style of these works surveyed are fairly visually abstracted, so weighting slightly more towards communication of the 3 primary tasks",---,,"molecules, organelles, cells","systems biology, illustration","(1) Advances in integration of data and computational infrastructure together are enabling the modeling of large portions of cells, and in some cases, entire cells. (2) Mesoscale models of cellular environments promote research into cellular structure and function by providing thinking tools for hypothesis generation, by providing initial models for simulation and interpretation of experiments, and by providing a new window for the development of drugs. (3) New approaches to visualization and interaction are being developed to address the challenging needs of mesoscale research.
**In 1991, traditional artistic methods (left) were used to create images of the molecular structure of a portion of bacterial cytoplasm, and today (right, foreground), computational methods can build integrative data-driven models of an entire bacterial cell and (right, background) simulate experimental data based on these models.",goodsell2021.jpg,"Goodsell, David S.; Olson, Arthur J.; Forli, Stefano","Experimental information from microscopy, structural biology, and bioinformatics may be integrated to build structural models of entire cells with molecular detail. This integrative modeling is challenging in several ways: the intrinsic complexity of biology results in models with many closely packed and heterogeneous components; the wealth of available experimental data is scattered among multiple resources and must be gathered, reconciled, and curated; and computational infrastructure is only now gaining the capability of modeling and visualizing systems of this complexity. We present recent efforts to address these challenges, both with artistic approaches to depicting the cellular mesoscale, and development and application of methods to build quantitative models.",mesoscale modeling;integrative structural biology;drug discovery;drug design;cell structure;cell function;molecular structure;molecular function,"Outstanding Questions: (1) How do we create a comprehensive pipeline that integrates tools for data management, model generation, and analysis of mesoscale properties, in applications to cellular biology research? (2) What are the salient features and properties of the cellular mesoscale that impact the processes of life, and how can we target these properties in new pharmaceutical interventions? (3) How do we promote an effective dialog between experimentalists and computational biologists to further the goals of research into the cellular mesoscale? (4) What is the role of human interaction in integrative structural biology research?",10.1016/j.tibs.2020.02.010,n,"done, in cell function intro part"
S16,Challenges for visualizing three-dimensional data in genomic browsers,"Goodstadt, Marti-Renom",2017,"gene sequence, microscopy",3,-10,-6,2,2,"Molecule, Organelle",1,1,"Physiology, Anatomy",Survey,0.45,0.45,0.1,1,"Main goals highlighted are more geared towards exploring the data and analyzing the data, communication is important but the complexity of the data and the need to extract necessary details is more important than more broad communication in genome browsers. However, steps cover all: acquire large, multifaceted, diverse datasets; parse the data to manage, structure, and annotate them; filter to correct for experimental artifacts, biases, and select the relevant data; and mine for statistical relevance [22]. The subsequent visualization steps present further challenges: to represent new objects, abstractions, and variations of the data; to refine by adding definition, clarity, and discoverability to find patterns in the data; to interact by selection, navigation, curating to test hypotheses, form conclusions, and to share the insights.",genomic interactions,,"genes, chromosomes, nucleosomes",systems biology,"Paper discusses various challenges to visualizing genome data: data representation challenges include the grammar used, the degree of abstraction, and how variation in data is shown. Refining data is another challenge that includes classification, comparision, and annotation. Data interactions form a last core challenge, including navigation, selection, curation and hosting.
""The genome browser is an archetypal tool due to its historic role providing unified access 1D and 2D data but is evolving to integrate the new spatial data. By combining techniques from across the sciences, these data are closing the resolution gap around 20 nm, however each discipline has a distinct perspective reflected in the way they represent the data. Cellular biology focuses downward from physiology on sequence tracks, whereas the biochemistry gazes upward from nucleotides at macromolecular models. Neither perceives the whole and there remain structures in the data, between chromosome and chromatin, that are unsatisfactorily represented by either browser or 3D viewer. Bridging this visualization gap to provide a homogenized view of these genomic data presents specific challenges: defining a novel visual grammar; augmenting analysis at scale; arranging sensible viewpoints; and capturing the interactive reasoning. ""
",goodstadt-renom.jpg,"Goodstadt, Mike; Marti-Renom, Marc A.","Genomic interactions reveal the spatial organization of genomes and genomic domains, which is known to play key roles in cell function. Physical proximity can be represented as two-dimensional heat maps or matrices. From these, three-dimensional (3D) conformations of chromatin can be computed revealing coherent structures that highlight the importance of nonsequential relationships across genomic features. Mainstream genomic browsers have been classically developed to display compact, stacked tracks based on a linear, sequential, per-chromosome coordinate system. Genome-wide comparative analysis demands new approaches to data access and new layouts for analysis. The legibility can be compromised when displaying track-aligned second dimension matrices, which require greater screen space. Moreover, 3D representations of genomes defy vertical alignment in track-based genome browsers. Furthermore, investigation at previously unattainable levels of detail is revealing multiscale, multistate, time-dependent complexity. This article outlines how these challenges are currently handled in mainstream browsers as well as how novel techniques in visualization are being explored to address them. A set of requirements for coherent visualization of novel spatial genomic data is defined and the resulting potential for whole genome visualization is described.","genome, genomics, gene interactions",more important to maximize the use of the 3D data being produced by representing its detail rather than increasing immersion,10.1002/1873-3468.12778,n,done in molecular function
S19,Visualising three-dimensional genome organisation in two dimensions,"Ing-Simmons, Vaquerizas",2019,gene sequence data (Hi-C),2,-7,-6,2,2,"Molecule, Organelle",0,1,"Anatomy, Physiology",Survey,0.25,0.5,0.25,1,"Paper gives an overview of the tasks that researchers have for Hi-C data: Overview of the data
Zoom in to a locus of interest
Inspect known structural features
Search for novel features
Compare datasets
Integrate with other data types
Share with collaborators
Produce figures","gene regulation, expression, organization, chromosome interactions",,"gene, dna bp",molecular biomedicine,"The organisation of chromatin within the nucleus is emerging as an important factor in gene regulation, with consequences for development and disease. 
Overview of features of genome organisation. (A) Individual chromosomes tend to occupy their own territories in the nucleus, which may overlap at the boundaries of territories. (B) Regions with an active chromatin state (orange) tend to be located towards the centre of the nucleus, while regions with an inactive chromatin state (blue) tend to be located at the nuclear lamina or nucleolus. Regions with a similar chromatin state interact with each other more frequently than expected based on their genomic distance. (C) Self-interacting domains form when a genomic region has preferential interactions with itself compared with neighbouring regions on the chromosome. (D) Loops can form between specific genomic regions. These interactions may be mediated by architectural proteins, transcription factors or chromatin regulators.
visualization of organization and interactions include heatmaps, quantitative linear tracks, discrete feature tracks, and aggregate analysis
",ing-simmons.jpg,"Ing-Simmons, Elisabeth; Vaquerizas, Juan","The three-dimensional organisation of the genome plays a crucial role in developmental gene regulation. In recent years, techniques to investigate this organisation have become more accessible to labs worldwide due to improvements in protocols and decreases in the cost of high-throughput sequencing. However, the resulting datasets are complex and can be challenging to analyse and interpret. Here, we provide a guide to visualisation approaches that can aid the interpretation of such datasets and the communication of biological results.","Genome organisation, Chromatin conformation, Hi-C data, Data visualisation, Gene regulation", future tools will also need to consider how to represent variability. Variation across features in a dataset provides an important reference point for interpreting the magnitude and biological significance of changes in genome organisation between samples. Future implementations of aggregate analyses could include visualisation of interaction strength variance across a set of features alongside their average interaction strength. ,10.1242/dev.177162,n,done in molecular function
S17,Molecular simulations and visualization: introduction and overview,Hirst et al.,2014,"simulation, x-ray crystallography, nmr, cryo-em",3,-10,-6,-15,5,Molecule,0,1,Physiology,Survey,0.25,0.5,0.25,1,"""To ensure that the enormous quantity of information contained in molecular simulation data (interactive or not) furnishes maximum insight into microscopic phenomena, the investigation of new visualization and visual analysis methods is an area of active research. One of the primary focuses of this emerging area concerns the development of new ways to understand and rapidly process the radically expanding deluge of data which molecular simulations are capable of generating. Visualization assists in grasping the complexity of these data and identifying emerging properties.""
""Not only do interactive and video game interfaces offer the potential for crowd-sourced research studies, they also offer an engaging medium for scientific education, helping students of all ages learn scientific principles and knowledge.""",molecular dynamics,,molecules,Vis/computational biology ,"mention drug design as a motivation for further research, exploration of AR/VR applications to understand dynamics and structures of molecules ",--,"Hirst, Jonathan D.; Glowacki, David R.; Baaden, Marc","Here we provide an introduction and overview of current progress in the field of molecular simulation and visualization, touching on the following topics: (1) virtual and augmented reality for immersive molecular simulations; (2) advanced visualization and visual analytic techniques; (3) new developments in high performance computing; and (4) applications and model building.","molecular simulation, molecular dynamics",--,10.1039/C4FD90024C,n,"done, in molecule function"
S18,Modeling Human Physiology: The IUPS/EMBS Physiome Project,Hunter et al.,2006,Multiple,---,-9,0,-6,5,"Molecule, Organelle, Cell, Tissue, Organ",1,1,Physiology,Outlook,0,0,0,0,modeling,multi-scale physiology,,Human body,Interdisciplinary,Physiome project,---,"Hunter, P.J.","The Physiome Project is an international collaboration to provide a framework for understanding human physiology, from proteins and cells to tissues and organs, with multiscale models that use computational techniques derived from engineering and software approaches from computer science. With the increasing interest in modeling living systems from research scientists in many branches of mathematics, physics, and engineering, it is timely to review what has been achieved, what lessons can be learned from the efforts so far, and what needs to be done to facilitate the international collaboration that is essential to the project’s success. In particular, we review the development of models at spatial scales from genes and proteins to the whole body, and the development of standards, tools, and databases to facilitate multiscale modeling. Some applications of the physiome models are described, including applications in medical diagnostics, the design of medical devices, virtual surgery, surgical training, and medical education.",---,---,10.1109/JPROC.2006.871767,n,"done, in introduction"
S20,A guide to the visual analysis and communication of biomolecular structural data,"Johnson, Hertig",2014,"x-ray crystallography, cryoEM, NMR","2, 3",-10,-7,-15,0,Molecule,0,1,"Anatomy, physiology subcomponent",Survey,0,0.5,0.5,1,"Visualizing biomolecular structures specifically for domain experts to understand properities of these structures, and for experts to communicate findings between their peers and to the broader public - ways to visually abstract this information",molecular dynamics,,molecules,Structural biology,"Guide for methods for visualizing biomolecular structures with varying degrees of abstraction depending on the communication goal - short discussion of dynamics, but the main focus of this work is on the structures ",johnson-hertig.jpg,"Johnson, Graham T.; Hertig, Samuel","Biologists regularly face an increasingly difficult task — to effectively communicate bigger and more complex structural data using an ever-expanding suite of visualization tools. Whether presenting results to peers or educating an outreach audience, a scientist can achieve maximal impact with minimal production time by systematically identifying an audience's needs, planning solutions from a variety of visual communication techniques and then applying the most appropriate software tools. A guide to available resources that range from software tools to professional illustrators can help researchers to generate better figures and presentations tailored to any audience's needs, and enable artistically inclined scientists to create captivating outreach imagery.","visualization, medical illustration, abstraction, communication","outlook discusses value of collaboration versus constantly learning new tools oneself, possibilities to make these tools and technologies more accessible and more mainstream ",10.1038/nrm3874,n,"done, in introduction"
S21,A Survey of Cardiac 4D PC-MRI Data Processing,Köhler et al.,2017,PC-MRI,3,-3,-2,-2,0,"Tissue, Orgen",0,1,Physiology ,Survey,0.25,0.75,0,1,"focus of survey mainly of visualizing this data for domain experts to explore features of the data, or to analyze data for a specific hypothesis ",blood flow ,,vessels,Vis,"In this work, we mainly focus on the aorta. We provide an overview of data measurement and pre-processing, as well as current visualization and quantification methods. An overview of open visualization challenges was given by Van Pelt et al. [VPV13]. In this survey, we presented the state-of-the-art of quantitative and qualitative 4D PC-MRI data analysis and visualization to give future researchers in the field of cardiac 4D PC-MRI a strong starting point for further advancements, which may facilitate the evaluation of larger studies and make 4D PC-MRI viable for the clinical routine.",kohler2017survey.jpg,"Köhler, Benjamin; Born, Silvia; van Pelt, Roy F. P.; Hennemuth, Anja; Preim, Uta; Preim, Bernhard","Cardiac four-dimensional phase-contrast magnetic resonance imaging (4D PC‐MRI) acquisitions have gained increasing clinical interest in recent years. They allow to non-invasively obtain extensive information about patient‐specific hemodynamics, and thus have a great potential to improve the diagnosis, prognosis and therapy planning of cardiovascular diseases. A dataset contains time-resolved, three-dimensional blood flow directions and strengths, making comprehensive qualitative and quantitative data analysis possible. Quantitative measures, such as stroke volumes, help to assess the cardiac function and to monitor disease progression. Qualitative analysis allows to investigate abnormal flow characteristics, such as vortices, which are correlated to different pathologies. Processing the data comprises complex image processing methods, as well as flow analysis and visualization. In this work, we mainly focus on the aorta. We provide an overview of data measurement and pre-processing, as well as current visualization and quantification methods. This allows other researchers to quickly catch up with the topic and take on new challenges to further investigate the potential of 4D PC‐MRI data.","Image Processing And Computer Vision, Computing Methodologies, Computing Applications, Life And Medical Sciences, Applications","challenge for community to explore larger studies, make more viable for clinical routine",10.1111/cgf.12803,y-lower grp,"done, in blood flow sec"
S22,Visualization of Biomolecular Structures: State of the Art Revisited,Kozlíková et al.,2016,"simulation, x-ray crystallography, nmr, em",3,-10,-7,-9,5,Molecule,0,1,"Physiology, Anatomy",Survey,0.25,0.5,0.25,1,"often for visual analysis, some works aim at least partly for exploration and or communication","molecular dynamics, molecular reactions, molecular pathways",,molecules,Vis,state of the art review of molecular visualization that discusses key challenges.,kozlikova-star.jpg,"Kozlíková, B.; Krone, M.; Falk, M.; Lindow, N.; Baaden, M.; Baum, D.; Viola, I.; Parulek, J.; Hege, H.-C.","Structural properties of molecules are of primary concern in many fields. This report provides a comprehensive overview on techniques that have been developed in the fields of molecular graphics and visualization with a focus on applications in structural biology. The field heavily relies on computerized geometric and visual representations of three-dimensional, complex, large and time-varying molecular structures. The report presents a taxonomy that demonstrates which areas of molecular visualization have already been extensively investigated and where the field is currently heading. It discusses visualizations for molecular structures, strategies for efficient display regarding image quality and frame rate, covers different aspects of level of detail and reviews visualizations illustrating the dynamic aspects of molecular simulation data. The survey concludes with an outlook on promising and important research topics to foster further success in the development of tools that help to reveal molecular secrets.","state of the art, report, survey, review, molecular structures ","The constant improvements in data acquisition technology and simulation methods provide a continuous challenge for the visualization of the derived, increasingly large molecular data sets in terms of particle numbers as well as time steps. Thus, the development of efficient visualization algorithms remains a promising direction for future work, including out-of-core methods for the visualization of very large data sets covering long time scales.",10.1111/cgf.13072,y-upper grp,done in molecule function
S23,Visual Analysis of Biomolecular Cavities: State of the Art,Krone et al.,2016,"simulation, x-ray crystallography, nmr, em",3,-10,-7,-9,0,Molecule,0,1,Physiology/Anatomy,Survey,0.25,0.75,0,1,"mainly for visual analysis tasks, some exploration (hypothesis generation)","molecular dynamics, reaction",,molecule,Vis,"overview of the existing methods for visualization and visual analysis of void space in molecules, for both static and dynamic cases",krone-2016star.jpg,"Krone, M.; Kozlíková, B.; Lindow, N.; Baaden, M.; Baum, D.; Parulek, J.; Hege, H.-C.; Viola, I.","In this report we review and structure the branch of molecular visualization that is concerned with the visual analysis of cavities in macromolecular protein structures. First the necessary background, the domain terminology, and the goals of analytical reasoning are introduced. Based on a comprehensive collection of relevant research works, we present a novel classification for cavity detection approaches and structure them into four distinct classes: grid-based, Voronoi-based, surface-based, and probe-based methods. The subclasses are then formed by their combinations. We match these approaches with corresponding visualization technologies starting with direct 3D visualization, followed with non-spatial visualization techniques that for example abstract the interactions between structures into a relational graph, straighten the cavity of interest to see its profile in one view, or aggregate the time sequence into a single contour plot. We also discuss the current state of methods for the visual analysis of cavities in dynamic data such as molecular dynamics simulations. Finally, we give an overview of the most common tools that are actively developed and used in the structural biology and biochemistry research. Our report is concluded by an outlook on future challenges in the field.","molecular cavity, molecular dynamics, molecular reaction, ligand binding","In the context of protein-protein interactions several analytical methods have been developed to date, but this technology is still emerging. The accompanying visualization technology that would align to typical questions of an analyst is practically non-existent. We see this subfield of structural biology as a large opportunity where the molecular visualization community can move to and as enabling technology that assists new discoveries. The protein-protein interactions can be the key for understanding large set of complex molecular machineries, which can have a strong impact on the advances in medicine, biology, and nanotechnology",10.1111/cgf.12928,y-upper grp,done in molecule function
S24,A Survey on Multimodal Medical Data Visualization,Lawonn et al.,2018,"MRI, CT, MRS, PET/SPECT, other",3,-9,0,-3,0,Organ ,0,1,Anatomy/Phsyiology,Survey,0.5,0.5,0,1,main focus of most of these multimodal visualization applications are for clinicians and researchers to explore and analyze data,,,,,,,"Lawonn, K.; Smit, N.n.; Bühler, K.; Preim, B.","Multi-modal data of the complex human anatomy contain a wealth of information. To visualize and explore such data, techniques for emphasizing important structures and controlling visibility are essential. Such fused overview visualizations guide physicians to suspicious regions to be analysed in detail, e.g. with slice-based viewing. We give an overview of state of the art in multi-modal medical data visualization techniques. Multi-modal medical data consist of multiple scans of the same subject using various acquisition methods, often combining multiple complimentary types of information. Three-dimensional visualization techniques for multi-modal medical data can be used in diagnosis, treatment planning, doctor–patient communication as well as interdisciplinary communication. Over the years, multiple techniques have been developed in order to cope with the various associated challenges and present the relevant information from multiple sources in an insightful way. We present an overview of these techniques and analyse the specific challenges that arise in multi-modal data visualization and how recent works aimed to solve these, often using smart visibility techniques. We provide a taxonomy of these multi-modal visualization applications based on the modalities used and the visualization techniques employed. Additionally, we identify unsolved problems as potential future research directions.",,,10.1111/cgf.13306,y-lower grp,
S25,Modeling and Simulation of Skeletal Muscle for Computer Graphics: A Survey,Lee et al.,2012,Multiple,3,-3,-1,-3,0,Organ,0,1,Physiology,Survey,1,0,0,1,direct visualization of the modeled muscle systems,movement,,muscle,Vis,"brief introduction to anatomical and biomechanical descriptions of muscle, which have been considered in most applications. It goes on to examine various approaches proposed to model muscle deformation and then we addresses muscle control problems and presents related simulation models to solve them. It concludes with a discussion of possible approaches to bridge the efforts of the biomechanical and graphics research communities, working towards a unified model.",---,"Lee, Dongwoon; Glueck, Michael; Khan, Azam; Fiume, Eugene; Jackson, Ken","Muscles provide physiological functions to drive body movement and anatomically characterize body shape, making them a crucial component of modeling animated human figures. Substantial efforts have been expended on developing computational models of muscles for the purpose of increasing realism and accuracy in a broad range of applications, including computer graphics and biomechanics. We survey various approaches that have been employed to model and simulate muscles both morphologically and functionally. Modeling the realistic morphology of muscle requires that muscle deformations be accurately depicted. To this end, several methodologies have been presented, including geometrically-based, physically-based, and data-driven approaches. On the other hand, the simulation of physiological muscle functions aims to identify the biomechanical controls responsible for realistic human motion. Estimating these muscle controls has been pursued through static and dynamic simulations. We review and discuss all these approaches, and conclude with suggestions for future research.","movement, muscuar simulation, biomechanics",---,10.1561/0600000036,n,"done, in movement"
S26,Visualizing the human connectome,Margulies et al.,2013,"range of data from macro to micro: EM, microscopy, EEG, MEG, fMRI, PET, SPECT, MRI","2, 3",-9,-1,-6,-2,Organ,1,0,"Anatomy, Physiology",Survey,0.5,0.25,0.25,1,"discussion of ways we represent the input data for exploration, methods we use for visual analysis, and discussion of how we visualization for presentation/communication of connectomics data to the public",connectomics (functional and structural),,"neurons, brain",neuroscience,"overview of various visualization methods that have evolved for anatomical and functional connectivity data. Discussion of visual methods used, doesn't do the multiscale org like Pfister did. Talk about the visual encodings more as the main taxonomic layer: glyphs and paths, matrices and graphs. include list of selected visualization tools for connectomics data

Note that visualizations of functional connectivity rely heavily on graph theory---an analytic language suitably concerned with describing the connections between nodes rather than the specific spatial paths connecting them. When the visualized unit becomes the connection between two points rather than the points themselves, novel possibilities emerge for representing connexels in a single image. This insight shifted functional connectivity visualizations from more traditional, anatomically situated representations to figures that focused their content on the graph of node-links or edges. functional connectivity visualization has routinely prioritized anatomical clarity in visualizations over the complexity of connexels 

on functional connectivity dynamics: ""We have thus far addressed the problem of visualizing the three-dimensional space of connections, taking for granted the stability of the functional connectome. An additional dimension is required when the temporal domain is brought into the image along with the spatial (Fig. 8). Early approaches to illustrating brain activity over time used color coded ROIs with representative time-series (Fig. 8a) (Fox et al., 2005) or coherence plots (Fig. 8b) (Chang and Glover, 2010). More recent depictions of the whole brain over time make use of a left-to-right montage, with brains shifting along the series to reveal dynamic changes (Fig. 8d) (Handwerker et al., 2012, Majeed et al., 2011; see Figs. 4 & 6 from Majeed et al., 2009) or correlation matrices (Fig. 8e) (Allen et al., 2012a). However, when anatomical space is not the priority of a visualization, correlations (Fig. 8c) (Hutchison et al., in press) offer another means of conveying the temporal complexity of signal dynamics through broad color motifs. Although there has been limited use of videos as supplementary online material, the medium offers the potential to maintain a stable anatomical position, which allows for the representation of fluctuations along the temporal dimension. AFNI has made a script5 available to create videos6 of data dynamics shown on the cortical surface.""",margulies.jpg,"Margulies, D.S.; Böttger, J.; Watanabe, A.; Gorgolewski, K.J.","Innovations in data visualization punctuate the landmark advances in human connectome research since its beginnings. From tensor glyphs for diffusion-weighted imaging, to advanced rendering of anatomical tracts, to more recent graph-based representations of functional connectivity data, many of the ways we have come to understand the human connectome are through the intuitive insight these visualizations enable. Nonetheless, several unresolved problems persist. For example, probabilistic tractography lacks the visual appeal of its deterministic equivalent, multimodal representations require extreme levels of data reduction, and rendering the full connectome within an anatomical space makes the contents cluttered and unreadable. In part, these challenges require compromises between several tensions that determine connectome visualization practice, such as prioritizing anatomic or connectomic information, aesthetic appeal or information content, and thoroughness or readability. To illustrate the ongoing negotiation between these priorities, we provide an overview of various visualization methods that have evolved for anatomical and functional connectivity data. We then describe interactive visualization tools currently available for use in research, and we conclude with concerns and developments in the presentation of connectivity results.","connectomics, brain, neuroscience","continue research that combines modalities, intuitivie interactions, means of processing ever more complex data, include more work with dynamics of functional connectome (add more of time element)",10.1016/j.neuroimage.2013.04.111,n,"done, in brain function"
