ID,Title,Author,Year,Data Origin,Visual Dim,Space Scale Start,Space Scale Finish,Time Scale Start,Time Scale Finish,Space-Time-Levels,Level,Multi scale,Human,Phys/Anat,Survey ModelMethodtool,Exploration,Analysis,Communication,Purpose test,Purpose comment,Process,Process,Structure,Origin,Concept,Image Name,Bibtex Authors,Abstract,Keywords,Future work,DOI,in vitaLITy?,in paper?
94,Spatiotemporal multiscale molecular cavity visualization and visual analysis,Guo et al.,2020,simulation,"2,3",-10,-6,-9,0,Molecule,Molecule,1,1,Physiology,Tool,0.5,0.5,0,1,"explore and analyze structural dynamics of molecular cavities in a protein. statistics of all the cavities of a protein in a pie chart to compare and analyze, heatmap shows change in length of cavity over time, curves plot depict the aggregation state of the length and width of the cavities on local timesteps, theme river diagram for evaluating single time step-single cavity scale, PDB model to visaulize cavity in 3d context","molecular dynamics, molecular interactions",molecular dynamics,molecule,Vis,"multiscale visual analysis of molecular cavities into 3 x 3 spatiotemporal chunks. Cavities chunk into (1) all cavities in protein, (2) single cavity, and (3) cavity segment. Temporal segments chunk into (1) global timescale (2) local timescale (3)  single timestep.  Different characteristics are highlighted at different scales, and these characteristics are regarded as the best mutational factors for expressing the activity and function of proteins at this scale. The main characteristics we describe are the length, width, and bottleneck of the cavity. This paper also explores the effects of amino acids and atoms around the cavity. Our method realizes the transformation between different scales through interaction and focuses on interactively exploring the relationships between different scales.",guo.jpg,"Guo, Dongliang; Han, Dongxue; Xu, Ximing; Ye, Kang; Nie, Junlan","The analysis of molecular cavities, which are transport pathways in protein structures, is critical to the understanding of molecular phenomena. However, this work is challenging due to the high complexity and diversity of the macromolecular shapes in dynamic processes. In this paper, we propose a novel multiscale visualization method for visualizing the interaction of protein cavities. We design a series of scales and visualizations of cavities based on both temporal and spatial perspectives to allow domain experts to process their work at any scale of semantic abstraction. These scales demonstrate the chemical and structural properties of cavities and span from a complete protein to a cavity at a specific moment in temporal and spatial dimensions. We also create a continuous interaction space for multiscale applications. Finally, the applicability of our approach is proven through experimental use cases, with cavities in proteins being visualized and analyzed in a focus-and-context manner. Our collaborating domain experts confirmed that our approach is an efficient and reliable method of analyzing cavities with great potential for large dynamic cavity data analysis.","Multiscale, Molecular Cavity, Interaction, Molecular Dynamics, Visual Analysis",,10.1007/s12650-020-00646-x,y-upper grp,y
95,Spatial Stochastic Modeling with MCell and CellBlender,Gupta et al.,2018,simulation,3,-10,-5,-9,0,"Molecule, Organelle, Cell",Molecule,0,1,Physiology,Tool,0.75,0,0.25,1,"spatially visualize results of simulation from stochastic modeling (experimental/exploration), do this as CellBlender plugin to modeling software Blender that allows then more creative/cinematic features for communication-oriented goals. Models are fairly visually abstracted onto mesh","interactionss, pathway",molecular interactions,"molecules, cell",bioinformatics,"we provide an overview of the simulation algorithms used by MCell and the underlying theory. We then give a tutorial on building and simulating MCell models using the CellBlender graphical user interface, that is built as a plug-in to Blender, a widely-used and freely available software platform for 3D modeling. introduced the theory and algorithms that can be used to carry out one form of spatial stochastic modeling as implemented in the MCell simulation package. It has also provided a tutorial for building, simulating, and analyzing MCell models using the CellBlender interface starting from basic diffusion and reaction-diffusion systems, and building up to more advanced examples that demonstrate how spatial heterogeneity can arise from a variety of mechanisms including diffusion-limited reactions (Lotka-Volterra), membrane organization and hindered diffusion (lipid rafts), and positive feedback.",gupta.jpg,"Gupta, Sanjana; Czech, Jacob; Kuczewski, Robert; Bartol, Thomas M.; Sejnowski, Terrence J.; Lee, Robin E. C.; Faeder, James R.","This chapter provides a brief introduction to the theory and practice of spatial stochastic simulations. It begins with an overview of different methods available for biochemical simulations highlighting their strengths and limitations. Spatial stochastic modeling approaches are indicated when diffusion is relatively slow and spatial inhomogeneities involve relatively small numbers of particles. The popular software package MCell allows particle-based stochastic simulations of biochemical systems in complex three dimensional (3D) geometries, which are important for many cell biology applications. Here, we provide an overview of the simulation algorithms used by MCell and the underlying theory. We then give a tutorial on building and simulating MCell models using the CellBlender graphical user interface, that is built as a plug-in to Blender, a widely-used and freely available software platform for 3D modeling. The tutorial starts with simple models that demonstrate basic MCell functionality and then advances to a number of more complex examples that demonstrate a range of features and provide examples of important biophysical effects that require spatially-resolved stochastic dynamics to capture.","spatial stochastic modeling, simulation, molecule dynamics",--,--,n,y
96,Multi-Variate Visualization of Cardiac Virtual Tissue,"Handley, Brodlie, Clayton",2006,CVT (cardiac virtual tissue),3,-4,-1,-1,0,Tissue,Tissue,0,1,Physiology,Method,0.75,0.25,0,1,explore phase space of hyper histogram to understand path of signal propagation across the entire heart from the perspective of cardiac virtual tissue ,signal propagation,tissue interactions,"heart cell, heart ",Vis,In this paper we have presented a novel visualization technique of Cardiac Virtual Tissue based on a hyper-histogram of phase space.,handley.jpg,"Handley, J. W.; Brodlie, K. W.; Clayton, R. H.","In standard analysis of cardiac models, typically one variable – usually the trans-membrane potential – is used in the generation of visualizations. However,
all but the most basic models have many state variables at each node, information that is not used when visualizing the output of the model. In this paper, we present a novel approach to visualizing the entire state of a 2D cardiac virtual tissue.","cardiac modeling, membrane potential ","extension such as colouring each point in phase space according to its original spatial position may provide further insight,",10.1109/CBMS.2006.120,n,y
97,Real-Time Active Shape Models for Segmentation of 3D Cardiac Ultrasound,Hansegård et al.,2007,US,3,-3,-2,-3,0,"Tissue, Organ",Organ,0,1,Physiology ,Model,0.25,0.75,0,0,"visualize output of model; check if volume of models match volumes of reference - comparison task in exploring the data (juxtapose lines over top for reference outline, model outline)
""does my model fit the underlying data""",heart beat (left ventricle),heart function,heart,Computer imaging,We present a fully automatic real-time algorithm for robust and accurate left ventricular segmentation in three-dimensional (3D) cardiac ultrasound.,hansegard.jpg,"Hansegård, Jøger; Orderud, Fredrik; Rabben, Stein I.","We present a fully automatic real-time algorithm for robust and accurate left ventricular segmentation in three-dimensional (3D) cardiac ultrasound. Segmentation is performed in a sequential state estimation fashion using an extended Kalman filter to recursively predict and update the parameters of a 3D Active Shape Model (ASM) in real-time. The ASM was trained by tracing the left ventricle in 31 patients, and provided a compact and physiological realistic shape space. The feasibility of the proposed algorithm was evaluated in 21 patients, and compared to manually verified segmentations from a custom-made semi-automatic segmentation algorithm. Successful segmentation was achieved in all cases. The limits of agreement (mean±1.96SD) for the point-to-surface distance were 2.2±1.1 mm. For volumes, the correlation coefficient was 0.95 and the limits of agreement were 3.4±20 ml. Real-time segmentation of 25 frames per second was achieved with a CPU load of 22%.",Quadrilateral Mesh; Active Shape Model; Spline Interpolant; Left Ventricular Shape; Left Ventricular Model ,--,10.1007/978-3-540-74272-2_20,n,
98,OmicsTIDE: Interactive Exploration of Trends in Multi-Omics Data,Harbig et al.,2021,"omics data (proteomics, transcriptomics, *metabolomics)",2,-6,-6,2,5,"Molecule, Organelle",,0,1,Physiology ,Tool,0.75,0.25,0,1,"trend comparison main goal of tool, typically have clear analytical question. Example case study:  Interactively studying the trend comparison between the transcriptome and proteome during blood cell differentation
""OmicsTIDE is an interactive inter-omics and intra-omics, as well as intra-condition and inter-condition visualization tool to compare trends of omics abundance data in a pairwise manner""","gene expression, pathway",molecular pathways,gene ,visualization/bioinformatics,"Omics Trend-comparing Interactive Data Explorer (OmicsTIDE), an interactive visualization tool developed to address the limitations of current visualization approaches in the multi-omics field. visual analytics tool that is designed for biologists; its user interface creates clear default views that show the concordant and discordant patterns in omics abundance data in a pairwise manner. The tool consists of an automated part that clusters omics data to determine trends and an interactive visualization. The trends are visualized as profile plots and are connected by a Sankey diagram that allows an interactive pairwise trend comparison to discover concordant and discordant trends. Moreover, large-scale omics data sets are broken down into small subsets of concordant and discordant regulatory trends within few analysis steps. ",harbig-omicstide.jpg,"Harbig, Theresa; Fratte, Julian; Krone, Michael; Nieselt, Kay","Motivation The increasing amount of data produced by omics technologies has significantly improved the understanding of how biological information is transferred across different omics layers and to which extent it is involved in the manifestation of a given phenotype. Besides data-driven analysis strategies, interactive visualization tools have been developed to make the analysis in the multi-omics field more transparent. However, most state-of-the-art tools do not reconstruct the impact of a given omics layer on the final integration result. In general, the amount of omics data analyses strategies and the fields of applications lack a clearer classification of the different approaches.
Results We developed a classification for omics data focusing on different aspects of multi-omics data sets, such as data type and experimental design. Based on this classification we developed the Omics Trend-comparing Interactive Data Explorer (OmicsTIDE), an interactive visualization tool developed to address the limitations of current visualization approaches in the multi-omics field. The tool consists of an automated part that clusters omics data to determine trends and an interactive visualization. The trends are visualized as profile plots and are connected by a Sankey diagram that allows an interactive pairwise trend comparison to discover concordant and discordant trends. Moreover, large-scale omics data sets are broken down into small subsets of concordant and discordant regulatory trends within few analysis steps. We demonstrate the interactive analysis using OmicsTIDE with two case studies focusing on different types of experimental designs.","omics data, multiomics data, sankey diagram, visual analysis, GO onotology ",more sophisticated clustering algorithms,"10.1101/2021.02.01.428836
",n,y
99,OncoThreads: Visualization of Large Scale Longitudinal Cancer Molecular Data,Harbig et al.,2021,RNAseq (?gene expression),2,-7,0,2,8,"Molecule, Organelle, Organisim, *Population",,1,1,Physiology,Tool,0.5,0.5,0,1,"visual analysis of cohort gemoics and molecular data, exploration a component (hypothesis gen) -- visual organization allows interactive exploration, may not have a specific analysis goal in mind at start; query mechanisms","molecular pathway, cancer progression",molecular pathways,"molecule, gene",visualization/bioinformatics,"OncoThreads was designed for cancer researchers and developed to address the lack of temporal cohort visualization tools, which specifically integrate multiple molecular data types and clinical data. OncoThreads provides exploratory visualizations of longitudinal cancer molecular data across patient cohorts and supports a wide range of biological data types, including mutations, copy number alterations, mRNA expression and protein expression. Furthermore, OncoThreads offers a temporal cohort visualization based on heatmaps and Sankey diagrams as well as a timeline overview for all patients. Moreover, it provides a feature explorer to discover features of interest—variables that are defined for each patient and timepoint, such as tumor stage or mutation burden—and feature modification in order to adjust their visual representation and facilitate interpretation. ",harbig.jpg,"Harbig, Theresa A.; Nusrat, Sabrina; Mazor, Tali; Wang, Qianwen; Thomson, Alexander; Bitter, Hans; Cerami, Ethan; Gehlenborg, Nils","Motivation: Molecular profiling of patient tumors and liquid biopsies over time with next-generation sequencing technologies and new immuno-profile assays are becoming part of standard research and clinical practice. With the wealth of new longitudinal data, there is a critical need for visualizations for cancer researchers to explore and interpret temporal patterns not just in a single patient but across cohorts.
Results: To address this need we developed OncoThreads, a tool for the visualization of longitudinal clinical and cancer genomics and other molecular data in patient cohorts. The tool visualizes patient cohorts as temporal heatmaps and Sankey diagrams that support the interactive exploration and ranking of a wide range of clinical and molecular features. This allows analysts to discover temporal patterns in longitudinal data, such as the impact of mutations on response to a treatment, for example, emergence of resistant clones. We demonstrate the functionality of OncoThreads using a cohort of 23 glioma patients sampled at 2-4 timepoints.
Availability and implementation: Freely available at http://oncothreads.gehlenborglab.org. Implemented in Java Script using the cBioPortal web API as a backend.
Supplementary information: Supplementary data are available at Bioinformatics online.","gene expression, longitudinal cancer molecular data, cohort visualization, multiple coordinate views","In the future, additional user interactions could trigger more complex queries in OncoThreads. An example of such a query could be: ‘Find all features that show a similar pattern in a specific timepoint’. Such a query would help users to identify correlations among features.", 10.1093/bioinformatics/btab289,n,y
100,3D blood flow characteristics in the carotid artery bifurcation assessed by flow-sensitive 4D MRI at 3T,Harloff et al.,2009,PC-MRI,3,-3,-2,-2,0,Organ,Organ,0,1,Physiology,Method,0.25,0.75,0,1,direct visualization of 4D CMR to quantify pathological flow patterns,blood flow (hemodynamics),blood flow,Vessel,Medical imaging,Harloff et al. created a pathline visualization  of flow from 3D MRI.,harloff.jpg,"Harloff, A.; Albrecht, F.; Spreer, J.; Stalder, A. F.; Bock, J.; Frydrychowicz, A.; Schöllhorn, J.; Hetzel, A.; Schumacher, M.; Hennig, J.; Markl, M.","To determine three-dimensional (3D) blood flow patterns in the carotid bifurcation, 10 healthy volunteers and nine patients with internal carotid artery (ICA) stenosis ?50% were examined by flow-sensitive 4D MRI at 3T. Absolute and mean blood velocities, pulsatility index (PI), and resistance index (RI) were measured in the common carotid arteries (CCAs) by duplex sonography (DS) and compared with flow-sensitive 4D MRI. Furthermore, 3D MRI blood flow patterns in the carotid bifurcation of volunteers and patients before and after recanalization were graded by two independent readers. Blood flow velocities measured by MRI were 31-39% lower than in DS. However, PI and RI differed by only 13-16%. Rating of 3D flow characteristics in the ICA revealed consistent patterns for filling and helical flow in volunteers. In patients with ICA stenosis, 3D blood flow visualization was successfully employed to detect markedly altered filling and helical flow patterns (forward-moving spiral flow) in the ICA bulb and to evaluate the effect of revascularization, which restored filling and helical flow. Our results demonstrate the feasibility of flow-sensitive 4D MRI for the quantification and 3D visualization of physiological and pathological flow patterns in the carotid artery bifurcation.","flow visualization, arrows, pathlines, color coded",---,10.1002/mrm.21774,n,
101,Real-Time Strain Rate Imaging of the Left Ventricle by Ultrasound,Heimdal et al.,1998,US,2,-2,-2,0,0,Organ,Organ,0,1,Physiology,Method,0,1,0,1,evaluate strain rate over whole heart,left ventricle deformation,heart function,Heart,Medical,"During heartbeat, the heart is deformed. Measurement for the rate of deformation is called \textit{strain rate}. Strain rate is important measure for detection of the heart dysfunction from the infarction. Heimdal et al. \cite{heimdal:1998} have developed a method to derive this information from Doppler ultrasound, and visualize it on color-coded 2D cine loop, showing the strain rate component along the ultrasound beam axis.",heimdal.jpg,"Heimdal, Andreas; Støylen, Asbjørn; Torp, Hans; Skjærpe, Terje","The regional function of the left ventricle can be visualized in real-time using the new strain rate imaging method. Deformation or strain of a tissue segment occurs over time during the cardiac cycle. The rate of this deformation, the strain rate, is equivalent to the velocity gradient, and can be estimated using the tissue Doppler technique. We present the strain rate as color-coded 2-dimensional cine-loops and color M-modes showing the strain rate component along the ultrasound beam axis. We tested the method in 6 healthy subjects and 6 patients with myocardial infarction. In the healthy hearts, a spatially homogeneous distribution of the strain rate was found. In the infarcted hearts, all the infarcted areas in this study showed up as hypokinetic or akinetic, demonstrating that this method may be used for imaging of regional dysfunction. Shortcomings of the method are discussed, as are some possible future applications of the method.","b-mode, doppler, combination rendering",---,10.1016/S0894-7317(98)70151-8,n,
102,CT Late Enhancement Segmentation for the Combined Analysis of Coronary Arteries and Myocardial Viability,Hennemuth et al.,2008,CT Angiogram,3,-4,-1,-3,0,Tissue,Tissue,0,0,Anatomy,Method,0.25,0.75,0,1,visual analysis with the combination of direct visualization,blood flow (perfusion to heart tissue),tissue interactions,Heart,Vis,"The coronary arteries supply oxygen-rich blood to the heart muscle. Coronary heart disease (CHD) is a disease in which a waxy substance called plaque builds up inside the coronary arteries, and limits a blood supply for the heart. Hennemuth et al. \cite{hennemuth:2008} have proposed a new method for the segmentation of late enhancement regions in CT images to allow a combination of coronary artery inspection with a viability analysis of the dependent myocardial tissue. (This is really on the edge of physiology, as it is just segmentation method).",hennemuth.jpg,"Hennemuth, A.; Mahnken, A.; Kühnel, C.; Oeltze, S.; Peitgen, H.-O.","Non-invasive imaging techniques become more and more important as diagnostic tools for the assessment of coronary heart disease (CHD). While CT is widely applied for the inspection of the coronary arteries, the state of myocardial tissue is normally analyzed with MRI or nuclear imaging methods such as PET or SPECT. The effect of late enhancement, the accumulation of contrast agent in defective tissue, is used to assess tissue viability with MR imaging. Studies have shown, that this effect can be observed for iodine based contrast agents, which are used for CT coronary artery imaging, as well. Thus the goal of this work is the development of segmentation and visualization methods, which allow a combined inspection of the coronary arteries and the viability of the corresponding myocardial tissue. We therefore present a new segmentation method for the analysis of CT late enhancement images and the integration with methods for the inspection of the coronary arteries. In preliminary tests by a radiologist, the methods are applied to 4 datasets to compare the segmentation with the reference method, test the combined inspection for data with a known relation between infarction and supplying artery and test the general applicability to patient data. The preliminary results are promising, and further studies will focus on the evaluation of the segmentation method as well as on the clinical benefit through the combined analysis.","bullseye, histogram, 3D view, volume, brushing",---,10.2312/VCBM/VCBM08/001-009,y-lower grp,
103,Physics-Based Visual Characterization of Molecular Interaction Forces,Hermosilla et al.,2017,"Simulation, PDB",3,-10,-9,-15,-9,Molecule,Molecule,0,1,Physiology,Method,0.25,0.75,0,1,Glyph based arrow visualization showing the energies influences on the binding process of the reactive molecules. Moreover abstraction and simplification to 2D was presented to allow visual analysis of important forces.,molecular interactions,molecular interactions,molecule,Vis,Glyph based arrow visualization showing the energies influences on the binding process of the reactive molecules. Moreover abstraction and simplification to 2D was presented to allow visual analysis of important forces.,hermosilla.jpg,"Hermosilla, Pedro; Estrada, Jorge; Guallar, Victor; Ropinski, Timo; Vinacua, Àlvar; Vázquez, Pere-Pau","Molecular simulations are used in many areas of biotechnology, such as drug design and enzyme engineering. Despite the development of automatic computational protocols, analysis of molecular interactions is still a major aspect where human comprehension and intuition are key to accelerate, analyze, and propose modifications to the molecule of interest. Most visualization algorithms help the users by providing an accurate depiction of the spatial arrangement: the atoms involved in inter-molecular contacts. There are few tools that provide visual information on the forces governing molecular docking. However, these tools, commonly restricted to close interaction between atoms, do not consider whole simulation paths, long-range distances and, importantly, do not provide visual cues for a quick and intuitive comprehension of the energy functions (modeling intermolecular interactions) involved. In this paper, we propose visualizations designed to enable the characterization of interaction forces by taking into account several relevant variables such as molecule-ligand distance and the energy function, which is essential to understand binding affinities. We put emphasis on mapping molecular docking paths obtained from Molecular Dynamics or Monte Carlo simulations, and provide time-dependent visualizations for different energy components and particle resolutions: atoms, groups or residues. The presented visualizations have the potential to support domain experts in a more efficient drug or enzyme design process.","glyphs, 2D mapping, color coded, brushing, filtering, focus & context",---,10.1109/TVCG.2016.2598825,n,
104,BioDynaMo: a general platform for scalable agent-based simulation,Hesam et al.,2021,simulation,3,-5,-3,-6,5,"Cell, Tissue, Organ",Tissue,0,1,Physiology ,Tool,1,0,0,0,Visualize results of simulation ,"signal propagation, cell division, etc",tissue interactions,"cell, tissue",Visualization,"BioDynaMo is an open-source software platform for life scientists for simulating biological agent-based models. It is general purpose and large scale, can simulate cell, tissue dynamics, signal propagation across brain",breitwieser.jpg,"Breitwieser, L., Hesam, A., de Montigny, J., Vavourakis, V., Iosif, A., Jennings, J., Kaiser, M., Manca, M., Di Meglio, A., Al-Ars, Z. and Rademakers, F.,","Motivation: Agent-based modeling is an indispensable tool for studying complex biological systems. However, existing simulators do not always take full advantage of modern hardware and often have a field-specific software design.
Results: We present a novel simulation platform called BioDynaMo that alleviates both of these problems. BioDynaMo features a general-purpose and high-performance simulation engine. We demonstrate that BioDynaMo can be used to simulate use cases in: neuroscience, oncology, and epidemiology. For each use case we validate our findings with experimental data or an analytical solution. Our performance results show that BioDynaMo performs up to three orders of magnitude faster than the state-of-the-art baseline. This improvement makes it feasible to simulate each use case with one billion agents on a single server, showcasing the potential BioDynaMo has for computational biology research.
Availability: BioDynaMo is an open-source project under the Apache 2.0 license and is available at this http URL. Instructions to reproduce the results are available in supplementary information.","simulation, molecular dynamics ",improve processing time,10.1101/2020.06.08.139949,n,y
105,Direct visualization of cell division using high-resolution imaging of M-phase of the cell cycle,Hesse et al.,2012,Microscopy,3,-7,-5,3,5,"Organelle, Cell",Cell,0,0,Physiology,Method,0.75,0,0.25,1,"direct visualization of mitosis from live cell imaging data. Some basic graphs included to communicate basic concept of questions: what is mitosis,using illustration, and bullseye-type plot that shows flow cytometry profiles for marker of interest in cells ","cell division, mitosis",cell dynamics,cell,cell biology,"More of an imaging-focused paper, provides example of exploration of imaging results in visual mannermonitor and quantify part of live cell division proces; do this by generating an in vivo reporter system using the scaffolding protein anillin fused to enhanced green fluorescent protein, to provide high spatiotemporal resolution of mitotic phase. This approach visualizes cytokinesis and midbody formation as hallmarks of expansion of stem and somatic cells, and enables distinction from cell cycle variations",hesse.jpg,"Hesse, Michael; Raulf, Alexandra; Pilz, Gregor-Alexander; Haberlandt, Christian; Klein, Alexandra M.; Jabs, Ronald; Zaehres, Holm; Fügemann, Christopher J.; Zimmermann, Katrin; Trebicka, Jonel; Welz, Armin; Pfeifer, Alexander; Röll, Wilhelm; Kotlikoff, Michael I.; Steinhäuser, Christian; Götz, Magdalena; Schöler, Hans R.; Fleischmann, Bernd K.","Current approaches to monitor and quantify cell division in live cells, and reliably distinguish between acytokinesis and endoreduplication, are limited and complicate determination of stem cell pool identities. Here we overcome these limitations by generating an in vivo reporter system using the scaffolding protein anillin fused to enhanced green fluorescent protein, to provide high spatiotemporal resolution of mitotic phase. This approach visualizes cytokinesis and midbody formation as hallmarks of expansion of stem and somatic cells, and enables distinction from cell cycle variations. High-resolution microscopy in embryonic heart and brain tissues of enhanced green fluorescent protein–anillin transgenic mice allows live monitoring of cell division and quantitation of cell cycle kinetics. Analysis of cell division in hearts post injury shows that border zone cardiomyocytes in the infarct respond with increasing ploidy, but not cell division. Thus, the enhanced green fluorescent protein–anillin system enables monitoring and measurement of cell division in vivo and markedly simplifies in vitro analysis in fixed cells.","cell division, gfp marker, live cell imaging, cell division, mitosis",--,10.1038/ncomms2089,n,
106,Viewing the Larger Context of Genomic Data through Horizontal Integration,Hibbs et al.,2007,microarray (gene expression data),2,-10,-6,2,5,"Molecule, Organelle",,0,1,Physiology,Tool,0.25,0.75,0,1, analysis and exploration of multiple microarray datasets simultaneously for gene expression,gene expression,molecular pathways,Gene,Vis,"we present a system, called HIDRA, that visually integrates the simultaneous display of multiple microarray datasets to identify important parallels and dissimilarities. employ an “overview + detail” approach on a per-dataset basis to allow users to view specific genes as well as their context within the whole genome. However, we extend this paradigm to include the larger context of additional available datasets as well, which we call an “overview + detail + setting” paradigm.

",hibbs.jpg,"Hibbs, Matthew; Wallace, Grant; Dunham, Maitreya; Li, Kai; Troyanskaya, Olga","Genomics is an important emerging scientific field that relies on meaningful data visualization as a key step in analysis. Specifically, most investigation of gene expression microarray data is performed using visualization techniques. However, as microarrays become more ubiquitous, researchers must analyze their own data within the context of previously published work in order to gain a more complete understanding. No current method for microarray visualization and analysis enables biology researchers to observe the greater context of data that surrounds their own results, which severely limits the ability of researchers draw novel conclusions. Here we present a system, called HIDRA, that visually integrates the simultaneous display of multiple microarray datasets to identify important parallels and dissimilarities. We demonstrate the power of our approach through examples of real-world biological insights that can be observed using HIDRA that are not apparent using other techniques.","genomics, infovis, visual analysis, heatmap",consider applying based on parallel coordinates instead of heatmaps,10.1109/IV.2007.120,y-upper grp,
107,A cell-based simulation software for multi-cellular systems,Hoehme and Drasdo,2010,Simulation,3,-5,-4,3,5,"Cell, Tissue",Cell,0,1,Physiology,Tool,0.75,0.25,0,1,direct visualization of partially illustrative modeling,multi-cellular dynamics,cell interactions,Cell,Bioinf,CellSys - system for simulating growth and organization process in multicellular systems.,hoehme2010simulation.jpg,"Hoehme, Stefan; Drasdo, Dirk","CellSys is a modular software tool for efficient off-lattice simulation of growth and organization processes in multi-cellular systems in 2D and 3D. It implements an agent-based model that approximates cells as isotropic, elastic and adhesive objects. Cell migration is modeled by an equation of motion for each cell. The software includes many modules specifically tailored to support the simulation and analysis of virtual tissues including real-time 3D visualization and VRML 2.0 support. All cell and environment parameters can be independently varied which facilitates species specific simulations and allows for detailed analyses of growth dynamics and links between cellular and multi-cellular phenotypes.",animation,---,10.1093/bioinformatics/btq437,n,
108,Prediction and validation of cell alignment along microvessels as order principle to restore tissue architecture in liver regeneration,Hoehme et al.,2010,Microscope,3,-7,-4,3,5,"Cell, Tissue",Cell,0,1,Physiology,Model,0.25,0,0.75,1,direct visualization of partially illustrative modeling,Liver recovery,cell interactions,Liver,BioPhysics,"Established a procedure based on confocal laser scans, image processing, and 3D tissue reconstruction to research tissue structure emergence.",hoehme2010tissue.jpg,"Hoehme, Stefan; Brulport, Marc; Bauer, Alexander; Bedawy, Essam; Schormann, Wiebke; Hermes, Matthias; Puppe, Verena; Gebhardt, Rolf; Zellmer, Sebastian; Schwarz, Michael; Bockamp, Ernesto; Timmel, Tobias; Hengstler, Jan G.; Drasdo, Dirk","Only little is known about how cells coordinately behave to establish functional tissue structure and restore microarchitecture during regeneration. Research in this field is hampered by a lack of techniques that allow quantification of tissue architecture and its development. To bridge this gap, we have established a procedure based on confocal laser scans, image processing, and three-dimensional tissue reconstruction, as well as quantitative mathematical modeling. As a proof of principle, we reconstructed and modeled liver regeneration in mice after damage by CCl4, a prototypical inducer of pericentral liver damage.We have chosen the regenerating liver as an example because of the tight link between liver architecture and function: the complex microarchitecture formed by hepatocytes and microvessels, i.e. sinusoids, ensures optimal exchange of metabolites between blood and hepatocytes. Our model captures all hepatocytes and sinusoids of a liver lobule during a 16 days regeneration process. The model unambiguously predicted a so-far unrecognized mechanism as essential for liver regeneration, whereby daughter hepatocytes align along the orientation of the closest sinusoid, a process which we named “hepatocyte-sinusoid alignment” (HSA). The simulated tissue architecture was only in agreement with the experimentally obtained data when HSA was included into the model and, moreover, no other likely mechanism could replace it. In order to experimentally validate the model of prediction of HSA, we analyzed the three-dimensional orientation of daughter hepatocytes in relation to the sinusoids. The results of this analysis clearly confirmed the model prediction.We believe our procedure is widely applicable in the systems biology of tissues.",animation,---,10.1073/pnas.0909374107,n,
110,Cytosplore: Interactive Immune Cell Phenotyping for Large Single-Cell Datasets,Höllt et al.,2016,mass cytyometry,2,-7,-3,2,2,Cell,Cell,0,1,Anatomy,Tool,0.25,0.75,0,1,"visual analysis of single cell data for hypothesis generation. Explore results of mass spectrometry (discover the input data).
Tasks: Group similar cells, where similarity is defined based on the protein expression for each cell. use tSNE
Define for each group the type of cell, which can be unknown beforehand, and annotate the cells.",cell phenotype,cell dynamics,"cell, protein markers",vis,"an integrated system to interactively explore large high-dimensional single-cell datasets and identify phenotypically distinct subsets in a data-driven fashion. Each cell is represented by a high-dimensional expression vector
An analysis workflow, supporting linking of multiple levels of detail to enable:
– rapid, data-driven phenotype specification (including for unknown cell types)
– the discovery, pinpointing and fixing of mistakes over multiple levels of detail",holt-cytosplore.jpg,"Höllt, T.; Pezzotti, N.; van Unen, V.; Koning, F.; Eisemann, E.; Lelieveldt, B.; Vilanova, A.","To understand how the immune system works, one needs to have a clear picture of its cellular compositon and the cells' corresponding properties and functionality. Mass cytometry is a novel technique to determine the properties of single-cells with unprecedented detail. This amount of detail allows for much finer differentiation but also comes at the cost of more complex analysis. In this work, we present Cytosplore, implementing an interactive workflow to analyze mass cytometry data in an integrated system, providing multiple linked views, showing different levels of detail and enabling the rapid definition of known and unknown cell types. Cytosplore handles millions of cells, each represented as a high-dimensional data point, facilitates hypothesis generation and confirmation, and provides a significant speed up of the current workflow. We show the effectiveness of Cytosplore in a case study evaluation.","cell lineage, protein markers, spectroscopy, expression profile, heatmap, tSNE, clustering",add quantitative analysis of subsets,10.1111/cgf.12893,y-upper grp,y
