ID,Title,Author,Year,Data Origin,Visual Dim,Space Scale Start,Space Scale Finish,Time Scale Start,Time Scale Finish,Level,Multi scale,Human,Phys/Anat,Survey model method tool,Old Purpose,Exploration,Analysis,Communication,Purpose test,Purpose comment,Process,Structure,Origin,Concept,Ref. Image,Image Name,Bibtex Authors,Abstract,Keywords,Future work
12,In Vivo Three-Dimensional MR Wall Shear Stress Estimation in Ascending Aortic Dilatation,Bieging et al.,2011,PC-MRI,3,-3,-1,-3,0,"Tissue, Organ",0,1,Physiology,Method,Process analysis,0.75,0.25,0,1,"Raw MRI in the background, with the flow visualization (helped with the modeling) doing a slight visual analysis",blood flow,Aorta,Medicine engineering,"Biegning et al. have proposed a method of segmentation relevant flow data from PC-MRI, and to visualize the flow using pathlines, together with color coding the pressure on aorta to investigate wall shear stress.",#NAME?,bieging.jpg,"Bieging, Erik T.; Frydrychowicz, Alex; Wentland, Andrew; Landgraf, Benjamin R.; Johnson, Kevin M.; Wieben, Oliver; François, Christopher J.","Purpose: To estimate surface-based wall shear stress (WSS) and evaluate flow patterns in ascending aortic dilatation (AscAD) using a high-resolution, time-resolved, three-dimensional (3D), three-directional velocity encoded, radially undersampled phase contrast MR sequence (4D PC-MRI). Materials and Methods: 4D PC-MRI was performed in 11 patients with AscAD (46.3 6 22.0 years) and 10 healthy volunteers (32.9 6 13.4 years) after written informed consent and institutional review board approval. Following manual vessel wall segmentation of the ascending aorta (MATLAB, The Mathworks, Natick, MA), a 3D surface was created using spline interpolation. Spatial WSS variation based on surface division in 12 segments and temporal variation were evaluated in AscAD and normal aortas. Visual analysis of flow patterns was performed based on streamlines and particle traces using EnSight (v9.0, CEI, Apex, NC). Results: AscAD was associated with significantly increased diastolic WSS, decreased systolic to diastolic WSS ratio, and delayed onset of peak WSS (all P < 0.001). Temporally averaged WSS was increased and peak systolic WSS was decreased. The maximum WSS in AscAD was on the anterior wall of the ascending aorta. Vortical flow with highest velocities along the anterior wall and increased helical flow during diastole were observed in AscAD compared with controls. Conclusion: Changes in WSS in the ascending aorta of AscAD correspond to observed alterations in flow patterns compared to controls.","streamlines, slice rendering",---
13,"4D phase contrast MRI at 3 T: Effect of standard and blood-pool contrast agents on SNR, PC-MRA, and blood flow visualization",Bock et al.,2009,PC-MRA,3,-3,-1,-2,0,"Tissue, Organ",0,1,Physiology,Method,"Process analysis,Direct visualization",0.75,0.25,0,1,"streamlines derived from the data and visualized, strong direct visualization and weaker visual analysis",blood flow,Aorta,Medicine engineering,"Bock et al. wrote a study of different observable agents, to enhance the visualization from 3D PC-MRI. Visualization is done with aorta isosurface extracted from PC-MRI data, and coupled with pathlines seeding planes color coding the measured velocity.",#NAME?,bock.jpg,"Bock, Jelena; Frydrychowicz, Alex; Stalder, Aurélien F.; Bley, Thorsten A.; Burkhardt, Hans; Hennig, Jürgen; Markl, Michael","Time-resolved phase contrast (PC) MRI with velocity encoding in three directions (flow-sensitive four-dimensional MRI) can be employed to assess three-dimensional blood flow in the entire aortic lumen within a single measurement. These data can be used not only for the visualization of blood flow but also to derive additional information on vascular geometry with three-dimensional PC MR angiography (MRA). As PCMRA is sensitive to available signal-to-noise ratio, standard and novel blood pool contrast agents may help to enhance PC-MRA image quality. In a group of 30 healthy volunteers, the influence of different contrast agents on vascular signalto- noise ratio, PC-MRA quality, and subsequent three-dimensional stream-line visualization in the thoracic aorta was determined. Flow-sensitive four-dimensional MRI data acquired with contrast agent provided significantly improved signal-to-noise ratio in magnitude data and noise reduction in velocity data compared to measurements without contrast media. The agreement of three-dimensional PC-MRA with reference standard contrast-enhanced MRA was good for both contrast agents, with improved PC-MRA performance for blood pool contrast agent, particularly for the smaller supraaortic branches. For three-dimensional flow visualization, a trend toward improved results for the data with contrast agent was observed.","streamlines, isosurface, volume","combined with calculated vessel geometry, and the determined vessel boundaries can be used for derivation of further hemodynamic parameters such as wall shear stress or pressure gradients"
14,The Inner Life of the Cell,Bolinsky,2006,PDB,3,-10,-6,-3,0,"Molecule,Organelle",0,1,Physiology,Model,Communication,0,0,1,1,Illustration,Cell processes,Cell organelles,Illustrator,"Animations are natural way of showing a temporal aspect of the processes. Bolinsky et al. have created a set of online animations called ""Inner life of cell"". The animated video was showing multiple processes happening inside the cell like Membrane dynamics, protein creation, transport inside the cell environment.",#NAME?,bolinsky.jpg,"Bolinsky, David","The Inner Life of the Cell is an 8.5-minute 3D computer graphics animation illustrating the molecular mechanisms that occur when a white blood cell in the blood vessels of the human body is activated by inflammation (Leukocyte extravasation). It shows how a white blood cell rolls along the inner surface of the capillary, flattens out, and squeezes through the cells of the capillary wall to the site of inflammation where it contributes to the immune reaction. When teaching biology, professors will often generate 3D animations to demonstrate certain concepts to their students in a much more visual way than would otherwise be possible. In the case of The Inner Life of the Cell the creators aimed for a more cinematic, as opposed to academic, feel.",illustrative animation,---
15,Visual Analysis of Cardiac 4D MRI Blood Flow Using Line Predicates,Born et al.,2013,MRI,3,-3,-2,-2,0,"Tissue, Organ",0,1,Physiology,Method,Process analysis,0.25,0.75,0,1,"Visual analysis main component, direct visualization for exploration of data as secondary concept as well",blood flow ,Vessel,Vis,"Born et al. created a visual analysis solution of blood flow using line predicates. Line predicates are precalculated integral lines clustered and sorted by similar flow properties, such as velocity, vorticity, or flow paths. The user can combine the line predicates flexibly and by that filter out interesting flow features helping to gain overview.",#NAME?,born.jpg,"Born, Silvia; Pfeifle, Matthias; Markl, Michael; Gutberlet, Matthias; Scheuermann, Gerik","4D MRI is an in vivo flow imaging modality which has the potential to significantly enhance diagnostics and therapy of cardiovascular diseases. However, current analysis methods demand too much time and expert knowledge in order to apply 4D MRI in the clinics or larger clinical studies. One missing piece are methods allowing to gain a quick overview of the flow data's main properties. We present a line predicate approach that sorts precalculated integral lines, which capture the complete flow dynamics, into bundles with similar properties. We introduce several streamline and pathline predicates that allow to structure the flow according to various features useful for blood flow analysis, such as, e.g., velocity distribution, vortices, and flow paths. The user can combine these predicates flexibly and by that create flow structures that help to gain overview and carve out special features of the current dataset. We show the usefulness of our approach by means of a detailed discussion of 4D MRI datasets of healthy and pathological aortas.","streamlines, line predicates, isosurface","To further improve insight and overview, a reduction of line clutter could be achieved by displaying a line bundle’s flow behavior with less lines or more abstract methods."
16,Metabolic network visualization using constraint planar graph drawing algorithm,Bourqui et al.,2006,Pathway,0,-9,-6,-6,5,Molecule,1,1,Physiology,Method,Process analysis,1,0,0,1,network visual analysis,Metabolic pathways,---,Vis,"Graph drawing method, which take in account the decomposition of the network into metabolic pathway as well as biochemical textbook drawing conventions.",#NAME?,bourqui.jpg,"Bourqui, R.; Auber, D.; Lacroix, V.; Jourdan, F.","A metabolic network is a set of interconnected metabolic pathways (subnetworks). Until recently, metabolic studies were dedicated to a single pathway, but current researches now consider the entire network. As matter stands, existing visualization tools cannot be used to undertake these global studies since they have been designed to probe metabolic pathways. For the purpose of making it feasible, this paper presents a graph drawing algorithm for the whole metabolic network. Our collaboration with biologists led us to introduce drawing constraints which take into account the decomposition of the network into metabolic pathways as well as biochemical textbook drawing conventions. These constraints raise numerous graph drawing problems which are solved by first recursively decomposing the network then applying suitable graph drawing algorithms. Finally, we present an application that illustrates the advantage of this representation when visualizing groups of reactions which span several metabolic pathways.","network, layout","Routing of edges at the end of the quotient graph drawing, focus+context methods"
17,Latent state visualization of neural firing rates,Brockmeier et al.,2011,Simulation,3,-4,-4,-5,-4,Tissue,0,1,Physiology,Method,Process analysis,0.25,0.75,0,1,dimension reduction of multichannel data,"signal propagation, movement",neurons grp,Neurology,"Method of dimension reduction, to extract meaningfull visualization from neural recordings.",#NAME?,brockmeier.jpg,"Brockmeier, Austin J.; Kriminger, Evan G.; Sanchez, Justin C.; Príncipes, José C.","Visualizing the collective modulation of multiple neurons during a known behavioral task is useful for exploratory analysis, but handling the large dimensionality of neural recordings is challenging. We further investigate using static dimensionality reduction techniques on neural firing rate data during an arm movement task. This lower-dimensional representation of the data is able to capture the neural states corresponding to different portions of the behavior task. A simulation using a dynamical model lends credence to the ability of the technique to generate a representation that preserves underlying dynamics of the model. This technique is a straightforward way to extract a useful visualization for neural recordings during brain-machine interface tasks. Meaningful visualization confirms underlying structure in data, which can be captured with parametric modeling.","data dimension reduction, color coded, 3D line plot",Further modeling that captures the structure.
18,A framework for fast initial exploration of PC-MRI cardiac ﬂow,Broos et al.,2016,PC-MRI,3,-3,-1,-2,0,"Tissue, Organ",0,1,Physiology,Method,Process simulation,0.75,0,0.25,1,"The goal of this work is to enable initial cardiac flow exploration without time-consuming manual preprocessing. Main goal to understand what the data contain, communication element here is the derived features that help to provide a more clear and concise overview of flow patterns -- is targeted towards experts",Blood flow,heart,Vis,"Broos et al. have proposed a sketch method for rapid exploration of blood flow data from PC-MRI. In summary, the contributions of this paper are: (1) Investigation and proposal of context visualization without the need of additional imaging or tedious segmentation. (2) An intuitive interactive selection of the areas of interest.(3) A feature-based seeding for cardiac flow visualization.(4) A user study to evaluate the different aspects of the framework",,broos.jpg,"Broos, A. J. M.; de Hoon, N. H. L.C.; de Koning, P. J. H.; van der Geest, R. J.; Vilanova, A.; Jalba, A. C.","Cardiac flow is still not fully understood, and is currently an active research topic. Using phase-contrast magnetic resonance imaging (PC-MRI) blood flow can be measured. For the inspection of such flow, researchers often rely on methods that require additional scans produced by different imaging modalities to provide context. This requires labor-intensive registration and often manual segmentation before any exploration of the data is performed. This work provides a framework that allows for a quick exploration of cardiac flow without the need of additional imaging and time-consuming segmentation. To achieve this, only the 4D data from one PC-MRI scan is used. A context visualization is derived automatically from the data, and provides context for the flow. Instead of relying on segmentation to deliver an accurate context, the heart’s ventricles are approximated by half-ellipsoids that can be placed with minimal user interaction. Furthermore, seeding positions for flow visualization can be placed automatically in areas of interest defined by the user and based on derived flow features. The framework enables a user to do a fast initial exploration of cardiac flow, as is demonstrated by a use case and a user study involving cardiac blood flow researchers.","pathlines, isosurfaces, color coded, sketching",---
19,Automated Illustration of Molecular Flexibility,Bryden et al.,2012,PDB,3,-10,-9,-9,0,Molecule,0,1,Physiology,Method,"Process analysis,Communication",0.25,0,0.75,1,additional encoding of molecular flexibility,Molecular motion,PDB:2ICY,Vis,Create ilustration of molecular flexibility with the arrow glyphs describing the flexibility and direction of molecular deformation.,#NAME?,bryden.jpg,"Bryden, Aaron; Jr, George N. Phillips; Gleicher, Michael","In this paper, we present an approach to creating illustrations of molecular flexibility using normal mode analysis (NMA). The output of NMA is a collection of points corresponding to the locations of atoms and associated motion vectors, where a vector for each point is known. Our approach abstracts the complex object and its motion by grouping the points, models the motion of each group as an affine velocity, and depicts the motion of each group by automatically choosing glyphs such as arrows. Affine exponentials allow the extrapolation of non-linear effects such as near rotations and spirals from the linear velocities. Our approach automatically groups points by finding sets of neighboring points whose motions fit the motion model. The geometry and motion models for each group are used to determine glyphs that depict the motion, with various aspects of the motion mapped to each glyph. We evaluated the utility of our system in real work done by structural biologists both by utilizing it in our own structural biology work and quantitatively measuring its usefulness on a set of known protein conformation changes. Additionally, in order to allow ourselves and our collaborators to effectively use our techniques we integrated our system with commonly used tools for molecular visualization.",arrow glyphs,Perceptual design for using arrows
20,MoleCollar and Tunnel Heat Map Visualizations for Conveying Spatio-Temporo-Chemical Properties Across and Along Protein Voids,Byska et al.,2015,"Simulation,PDB",2,-10,-9,-15,-9,Molecule,0,1,Physiology,Method,Process analysis,0.25,0.75,0,1,visual analysis with some direct visualization,Molecule tunnel dynamics,DhaA mutations,Vis,"Novel method for evaluation of the biochemical relevance of tunnels in proteins in large ensembles of molecular dynamics, using heatmaps, connected brushing and tunnel bottleneck spatial composition.",#NAME?,byska.jpg,"Byška, J.; Jurčík, A.; Gröller, M. E.; Viola, I.; Kozlíková, B.","Studying the characteristics of proteins and their inner void space, including their geometry, physico-chemical properties and dynamics are instrumental for evaluating the reactivity of the protein with other small molecules. The analysis of long simulations of molecular dynamics produces a large number of voids which have to be further explored and evaluated. In this paper we propose three new methods: two of them convey important properties along the long axis of a selected void during molecular dynamics and one provides a comprehensive picture across the void. The first two proposed methods use a specific heat map to present two types of information: an overview of all detected tunnels in the dynamics and their bottleneck width and stability over time, and an overview of a specific tunnel in the dynamics showing the bottleneck position and changes of the tunnel length over time. These methods help to select a small subset of tunnels, which are explored individually and in detail. For this stage we propose the third method, which shows in one static image the temporal evolvement of the shape of the most critical tunnel part, i.e., its bottleneck. This view is enriched with abstract depictions of different physicochemical properties of the amino acids surrounding the bottleneck. The usefulness of our newly proposed methods is demonstrated on a case study and the feedback from the domain experts is included. The biochemists confirmed that our novel methods help to convey the information about the appearance and properties of tunnels in a very intuitive and comprehensible manner","heatmap, time curve, brushing",---
21,Fast Joint Detection-Estimation of Evoked Brain Activity in Event-Related fMRI Using a Variational Approach,Chaari et al.,2013,fMRI,2,-3,-1,-2,0,"Tissue, Organ",0,1,Physiology,Method,Process analysis,0.75,0.25,0,1,direct visualization with a little bit of derivation and color coding,brain activity,Brain,Medical imaging,Chaari et al. have presented a new intra-subject method for parcel-based joint detection-estimation of brain activity from fMRI time series.,#NAME?,chaari.jpg,"Chaari, Lotfi; Vincent, Thomas; Forbes, Florence; Dojat, Michel; Ciuciu, Philippe","In standard within-subject analyses of event-related functional magnetic resonance imaging (fMRI) data, two steps are usually performed separately: detection of brain activity and estimation of the hemodynamic response. Because these two steps are inherently linked, we adopt the so-called region-based joint detection-estimation (JDE) framework that addresses this joint issue using a multivariate inference for detection and estimation. JDE is built by making use of a regional bilinear generative model of the BOLD response and constraining the parameter estimation by physiological priors using temporal and spatial information in a Markovian model. In contrast to previous works that use Markov Chain Monte Carlo (MCMC) techniques to sample the resulting intractable posterior distribution, we recast the JDE into a missing data framework and derive a variational expectation-maximization (VEM) algorithm for its inference. A variational approximation is used to approximate the Markovian model in the unsupervised spatially adaptive JDE inference, which allows automatic fine-tuning of spatial regularization parameters. It provides a new algorithm that exhibits interesting properties in terms of estimation error and computational cost compared to the previously used MCMC-based approach. Experiments on artificial and real data show that VEM-JDE is robust to model misspecification and provides computational gain while maintaining good performance in terms of activation detection and hemodynamic shape recovery.","small multiples, color coded, time curve, heatmap",---
23,A framework for three-dimensional simulation of morphogenesis,Cickovski et al.,2005,Simulation,3,-5,-3,-6,5,"Cell, Tissue",0,0,Physiology,Model,"Process modeling,Process simulation",1,0,0,1,modeling of morpheogenesis,"Cell growth, interaction",Chicken limb,Bioinf,"A framework for biologically relevant models for cell clustering, growth, and interaction with chemical fields.",#NAME?,cickovski.jpg,"Cickovski, Trevor M.; Huang, Chengbang; Chaturvedi, Rajiv; Glimm, Tilmann; Hentschel, H. George E.; Alber, Mark S.; Glazier, James A.; Newman, Stuart A.; Izaguirre, Jesuś A.","We present COMPUCELL3D, a software framework for three-dimensional simulation of morphogenesis in different organisms. COMPUCELL3D employs biologically relevant models for cell clustering, growth, and interaction with chemical fields. COMPUCELL3D uses design patterns for speed, efficient memory management, extensibility, and flexibility to allow an almost unlimited variety of simulations. We have verified COMPUCELL3D by building a model of growth and skeletal pattern formation in the avian (chicken) limb bud. Binaries and source code are available, along with documentation and input files for sample simulations, at http://compucell.sourceforge.net.","animation, Cellular Potts Model (CPM), biological development, reaction-diffusion, cellular automata, morphogenesis, ExtensibleMarkup Language (XML).",---
